Dish Name,Region/Origin,Ingredients,Cultural Significance
Khmer Tamarind Rice Soup,Cambodia,Rice tamarind garlic fish sauce chili,tangy rice soup flavored tamarind garlic commonly served side rice
Khmer Fried Banana Soup,Cambodia,Bananas sugar coconut milk,warm comforting banana soup made fried bananas coconut milk often enjoyed dessert
Khmer Sweetened Plantain Cake,Cambodia,Plantains sugar coconut milk sesame seeds,sweet deepfried cake made plantains enjoyed dessert
Khmer Tamarind Pumpkin Soup,Cambodia,Pumpkin tamarind garlic ginger sugar coconut milk,tangy sweet soup made tamarind pumpkin offering comforting flavor
Khmer Coconut Lemongrass Taro,Cambodia,Taro coconut milk lemongrass garlic sugar,rich creamy soup made taro coconut milk flavored lemongrass aromatic depth
Khmer Sweetened Tamarind Duck,Cambodia,Duck tamarind coconut milk garlic sugar chili,sweet tangy duck dish combining tamarind coconut milk balanced flavor profile
Khmer Tamarind Pork Curry,Cambodia,Pork tamarind garlic chili coconut milk turmeric,hearty curry made tamarind pork showcasing bold sour flavor tamarind
Khmer Sweetened Rice Pumpkin,Cambodia,Rice pumpkin sugar coconut milk,sweet dessert made rice pumpkin commonly served festivals
Khmer Tamarind Lemongrass Duck,Cambodia,Duck tamarind lemongrass garlic chili fish sauce,delicious duck dish made aromatic flavors tamarind lemongrass
Khmer Coconut Tamarind Pumpkin,Cambodia,Pumpkin coconut milk tamarind sugar garlic,rich flavorful soup dessert made coconut milk tamarind balanced sweetness pumpkin
Khmer Tamarind Grilled Lemongrass,Cambodia,Lemongrass tamarind garlic chili fish sauce,grilled dish tamarind lemongrass perfect appetizer snack
Khmer Sweetened Duck Lemongrass,Cambodia,Duck lemongrass sugar chili coconut milk,flavorful duck dish sweetness sugar complements tartness lemongrass coconut milk
Khmer Tamarind Pork Lemongrass,Cambodia,Pork tamarind lemongrass garlic chili fish sauce,savory spicy pork dish flavored tamarind lemongrass typically served rice
Khmer Sweetened Tamarind Pumpkin,Cambodia,Pumpkin tamarind coconut milk sugar,sweet sour dish made tamarind pumpkin offering refreshing balance flavors
Khmer Tamarind Grilled Duck,Cambodia,Duck tamarind garlic chili fish sauce,grilled duck dish tamarind offering rich tangy flavor perfect special occasions
Khmer Sweetened Tamarind Pork,Cambodia,Pork tamarind sugar garlic chili fish sauce,sweet tangy dish made pork tamarind spices commonly served rice
Khmer Lemongrass Grilled Pumpkin,Cambodia,Pumpkin lemongrass garlic sugar chili,flavorful grilled pumpkin dish lemongrass perfect complementing main dish
Khmer Sweetened Lemongrass Pork,Cambodia,Pork lemongrass sugar chili fish sauce,sweet savory pork dish flavored lemongrass fish sauce often enjoyed rice
Khmer Grilled Tamarind Pumpkin,Cambodia,Pumpkin tamarind garlic chili sugar,unique combination grilled pumpkin tamarind offering tangy sweet flavors
Khmer Sweetened Grilled Lemongrass,Cambodia,Lemongrass sugar chili fish sauce,flavorful grilled lemongrass dish hint sweetness ideal appetizer snack
Khmer Tamarind Grilled Pork,Cambodia,Pork tamarind garlic chili fish sauce,savory grilled pork dish made tamarind offering bold tangy flavor
Khmer Sweetened Tamarind Lemongrass,Cambodia,Lemongrass tamarind sugar chili garlic,tangy slightly sweet soup side dish made tamarind lemongrass commonly enjoyed rice
Khmer Lemongrass Grilled Pork,Cambodia,Pork lemongrass garlic sugar chili,grilled pork dish aromatic flavors lemongrass commonly enjoyed main course
Khmer Sweetened Grilled Duck,Cambodia,Duck sugar tamarind garlic chili fish sauce,sweet savory duck dish grilled perfection tamarind sugar glaze served rice
Khmer Grilled Tamarind Pork,Cambodia,Pork tamarind garlic chili fish sauce,grilled pork dish flavored tamarind spices served side rice
Khmer Sweetened Tamarind Duck,Cambodia,Duck tamarind sugar garlic chili,tangy sweet duck dish combining tamarind sugar rich flavorful experience
Khmer Grilled Lemongrass Duck,Cambodia,Duck lemongrass garlic sugar chili,grilled duck dish fresh aromatic flavors lemongrass perfect flavorful meal
Khmer Tamarind Grilled Pumpkin,Cambodia,Pumpkin tamarind garlic sugar chili,sweet tangy grilled pumpkin dish made tamarind often served side
Khmer Sweetened Tamarind Rice,Cambodia,Rice tamarind sugar garlic chili,sweet tangy rice dish made tamarind commonly served accompaniment grilled meats
Khmer Grilled Tamarind Rice,Cambodia,Rice tamarind garlic chili fish sauce,Grilled rice infused tamarind savory flavors usually paired grilled meats
Khmer Sweetened Lemongrass Duck,Cambodia,Duck lemongrass sugar garlic chili,flavorful duck dish grilled lemongrass sugar balanced sweet savory taste
Khmer Tamarind Grilled Rice,Cambodia,Rice tamarind garlic chili,Grilled rice flavored tamarind slightly tangy savory side dish complement meats
Khmer Sweetened Grilled Rice,Cambodia,Rice sugar tamarind garlic chili,sweetened grilled rice dish often served alongside grilled meats rich sugary flavor
Khmer Tamarind Sweet Lemongrass,Cambodia,Lemongrass tamarind sugar chili,flavorful dish made tamarind lemongrass providing sweet tangy flavor combination
Khmer Sweetened Tamarind Lemongrass Rice,Cambodia,Rice tamarind lemongrass sugar chili,sweet tangy rice dish lemongrass often enjoyed grilled meats fish
Khmer Grilled Sweetened Rice,Cambodia,Rice sugar tamarind garlic,sweetened rice dish grilled bring fragrant crispy texture
Khmer Tamarind Sweetened Lemongrass Duck,Cambodia,Duck tamarind lemongrass sugar garlic,rich flavorful duck dish sweet tangy notes tamarind lemongrass
Khmer Grilled Lemongrass Sweet Rice,Cambodia,Rice lemongrass sugar chili,fragrant grilled rice dish lemongrass sugar perfect accompaniment meats fish
Khmer Sweetened Tamarind Rice Duck,Cambodia,Duck tamarind rice sugar garlic chili,sweet savory duck dish served tamarind rice fullflavored experience
Khmer Tamarind Grilled Sweetened Rice,Cambodia,Rice tamarind sugar garlic,unique grilled rice dish sweetness tamarind sugar
Khmer Sweetened Tamarind Lemongrass Pumpkin,Cambodia,Pumpkin tamarind lemongrass sugar chili,roasted pumpkin dish tangysweet tamarind lemongrass seasoning perfect enhancing meals
Khmer Grilled Sweetened Tamarind Duck,Cambodia,Duck tamarind sugar garlic chili,delectable grilled duck dish sweetened tamarind sugar often served rice
Khmer Tamarind Grilled Sweetened Pumpkin,Cambodia,Pumpkin tamarind sugar chili garlic,sweet tangy grilled pumpkin dish popular Cambodian cuisine often served side
Khmer Sweetened Grilled Tamarind Lemongrass,Cambodia,Tamarind lemongrass sugar chili garlic,grilled dish balance sweet tangy flavors tamarind lemongrass usually accompanying meat
Khmer Tamarind Sweetened Grilled Lemongrass,Cambodia,Tamarind lemongrass sugar chili garlic,Similar previous highlighting harmonious blend tamarind lemongrass
Khmer Sweetened Tamarind Grilled Pork,Cambodia,Pork tamarind sugar garlic chili,sweet savory grilled pork dish tamarind typically served rice
Khmer Tamarind Sweetened Grilled Pumpkin,Cambodia,Pumpkin tamarind sugar garlic chili,delectable grilled pumpkin tangy sweetness tamarind adding variety meal
Khmer Grilled Sweetened Tamarind Rice,Cambodia,Rice tamarind sugar garlic chili,grilled rice dish flavored tamarind sugar typically served grilled meats
Khmer Sweetened Grilled Tamarind Rice,Cambodia,Rice tamarind sugar garlic,slightly sweetened grilled rice dish distinctive tamarind flavor
Khmer Tamarind Sweetened Grilled Duck,Cambodia,Duck tamarind sugar garlic chili,flavorful duck dish tamarind sugar grilled perfection
Khmer Grilled Tamarind Lemongrass Rice,Cambodia,Rice tamarind lemongrass garlic chili,Rice grilled tamarind lemongrass often accompanying grilled meats fish
Khmer Sweetened Grilled Tamarind Pork,Cambodia,Pork tamarind sugar garlic chili,grilled pork dish balanced sweettangy flavor tamarind typically served rice
Khmer Tamarind Sweetened Grilled Pork Rice,Cambodia,Pork rice tamarind sugar garlic chili,rich pork rice dish infused tamarind creating sweetsour flavor profile
Khmer Grilled Tamarind Sweetened Pumpkin,Cambodia,Pumpkin tamarind sugar garlic chili,unique side dish tamarind pumpkin grilled smokey finish
Khmer Sweetened Grilled Tamarind Pumpkin,Cambodia,Pumpkin tamarind sugar garlic chili,Similar previous entry often accompanying meats added contrast flavor
Khmer Grilled Tamarind Lemongrass Duck,Cambodia,Duck tamarind lemongrass garlic chili,flavorful duck dish tamarind lemongrass typically served rice
Khmer Sweetened Tamarind Grilled Duck,Cambodia,Duck tamarind sugar garlic chili,grilled duck dish sweet tangy tamarind providing complex flavor profile
Khmer Tamarind Sweetened Pork Rice,Cambodia,Pork rice tamarind sugar garlic chili,hearty meal pork rice cooked tamarind added depth flavor
Khmer Grilled Tamarind Duck Rice,Cambodia,Duck rice tamarind sugar garlic chili,Grilled duck rice incorporating tamarind sweetsour contrast
Khmer Sweetened Tamarind Rice Cake,Cambodia,Rice flour tamarind sugar coconut milk,popular dessert made rice flour tamarind coconut milk often enjoyed festivals gatherings
Khmer Grilled Tamarind Lemongrass Pork,Cambodia,Pork tamarind lemongrass garlic chili,grilled pork dish flavored tamarind lemongrass offering balance sweet sour savory notes
Ikan Pepes,TimorLeste,Fish chili turmeric lemongrass garlic banana leaves,traditional Indonesian Timorese dish spiced fish wrapped banana leaves grilled
Katupa,TimorLeste,Rice coconut milk pandan leaves,rice cake dish steamed pandan leaves often served dishes like curries
Tukir,TimorLeste,Cassava coconut milk sugar salt,sweet dessert made cassava coconut milk enjoyed locals festive times
Feijoada,TimorLeste,Black beans pork beef sausage garlic onions bay leaves,rich flavorful stew beans meats influenced Portuguese cuisine
Batar Daan,TimorLeste,Corn beans garlic onion oil salt,hearty corn bean stew serves staple dish TimorLeste
Caril,TimorLeste,Meat usually chicken coconut milk curry powder garlic chili,popular curry dish made coconut milk variety spices
Ikan Sabuko,TimorLeste,Fish turmeric garlic lime chili onions,dish fish cooked turmeric chili popular flavorful aromatic taste
Ai Manas,TimorLeste,Chicken garlic onion ginger turmeric chili soy sauce,spicy savory chicken dish cooked traditional spices
Tapai,TimorLeste,Rice sugar yeast water,traditional fermented dish made rice often enjoyed sweet dessert
Bibinka,TimorLeste,Rice flour coconut milk sugar eggs,sweet layered rice cake dessert staple Timorese festivities
Surik,TimorLeste,Taro coconut milk sugar salt,traditional Timorese dish made taro often enjoyed dessert
Fehuk Mutin,TimorLeste,Chicken garlic onion tomato chili vinegar,traditional chicken dish tangy spicy served rice
Etu Morin,TimorLeste,Pork garlic onion tomato chili lime,pork dish tangy spicy flavor profile usually served rice
Caril Frango,TimorLeste,Chicken coconut milk curry powder garlic chili,curry made chicken coconut milk common comfort food TimorLeste
Bubur Timor,TimorLeste,Rice coconut milk sugar pandan leaves,dessert made rice coconut milk pandan leaves enjoyed cooler months
Ai Manas Tofu,TimorLeste,Tofu garlic onion chili soy sauce,vegetarian version Ai Manas using tofu instead chicken offering spicy savory flavor
Tua Sabu,TimorLeste,Cassava coconut milk sugar salt,sweet dessert dish made cassava coconut milk commonly enjoyed Timorese homes
Fehuk Gula,TimorLeste,Pork sugar garlic vinegar soy sauce,sweet pork dish cooked sugar vinegar unique balance flavors
Caril Kambing,TimorLeste,Goat meat coconut milk curry powder garlic chili,flavorful curry made goat meat coconut milk mix spices popular Timorese celebrations
Tais Bacurau,TimorLeste,Cassava garlic onion coconut milk chili,traditional Timorese dish made cassava often eaten side dish meals
GadoGado Timorese,TimorLeste,Mixed vegetables boiled eggs tofu peanut sauce chili rice,popular saladlike dish mixed vegetables peanut sauce often served light meal appetizer
TeinMutin,TimorLeste,Pork garlic onion tomato chili vinegar,savory pork dish tangy spicy flavor often enjoyed TimorLestes daily meals
Asinan Timor,TimorLeste,Vegetables chili lime vinegar sugar,pickled vegetable dish zesty spicy flavor commonly served rice
Sei Ikan,TimorLeste,Fish garlic chili vinegar lime,traditional Timorese dish made grilled fried fish tangy marinade often served rice
Batar Waru,TimorLeste,Corn beans garlic onion oil,hearty stew corn beans often enjoyed side main dish
Tama,TimorLeste,Corn rice flour coconut milk sugar,sweet hearty dessert made corn coconut milk typically served special occasions
Ketupa Mutin,TimorLeste,Rice coconut milk pandan leaves chicken,steamed rice dish flavored pandan leaves coconut milk often served chicken
Caril Ai Manas,TimorLeste,Chicken coconut milk curry powder garlic chili,popular chicken curry dish made coconut milk variety spices
Tua Mutin,TimorLeste,Cassava coconut milk sugar salt,traditional dessert made cassava coconut milk enjoyed colder months
Ai Fuan Salad,TimorLeste,Mixed vegetables garlic chili lime soy sauce tofu,refreshing salad mixed vegetables tofu tangy spicy dressing
Fehuk Fried,TimorLeste,Pork garlic onion soy sauce chili,fried pork dish savory spicy flavor served rice
Caril Tuna,TimorLeste,Tuna coconut milk curry powder garlic chili,tuna curry made coconut milk spices popular coastal regions TimorLeste
Bibinka Pisang,TimorLeste,Rice flour bananas coconut milk sugar eggs,sweet dessert made rice flour ripe bananas often served festive occasions
Ai Masin,TimorLeste,Chicken garlic soy sauce ginger vinegar,savory chicken dish balance salty sour flavors popular everyday Timorese cuisine
Katemak,TimorLeste,Beef chili garlic onion coconut milk,spicy beef stew made chili coconut milk typically served rice
Tuna Ai Manas,TimorLeste,Tuna garlic soy sauce chili lime,Timorese tuna dish cooked savory spicy marinade often served rice
Tais Bakara,TimorLeste,Rice vegetables beans coconut milk,Timorese rice dish made vegetables beans coconut milk served side dish
Caril Vegetais,TimorLeste,Mixed vegetables curry powder coconut milk garlic chili,vegetarian curry made mixed vegetables flavored coconut milk spices
Fehuk Fruta,TimorLeste,Pork fruit like papaya mango garlic chili,sweet savory pork dish tropical fruits popular regions TimorLeste
Caril Camarao,TimorLeste,Shrimp coconut milk curry powder garlic chili,shrimp curry dish made coconut milk variety spices often served rice
Ai Manas Squid,TimorLeste,Squid garlic chili soy sauce coconut milk,flavorful squid dish made spicy savory sauce commonly served main course
Uma Taka,TimorLeste,Pork cassava garlic chili soy sauce,traditional pork stew made cassava flavored garlic chili soy sauce
Sei Udang,TimorLeste,Shrimp garlic chili soy sauce lime,savory grilled shrimp dish popular zesty flavor slightly spicy kick
Bubur Pisang,TimorLeste,Bananas coconut milk sugar rice flour,sweet dessert made bananas coconut milk often enjoyed comfort food
Ai Fuan,TimorLeste,Mixed vegetables garlic chili soy sauce tofu,stirfry mixed vegetables tofu typically served rice hearty meal
Fehuk Dook,TimorLeste,Duck garlic soy sauce chili coconut milk,Timorese duck dish cooked soy sauce chili coconut milk rich savory flavor
Katupa Tahu,TimorLeste,Rice tofu coconut milk pandan leaves,steamed rice dish flavored coconut milk pandan leaves often served side dish
Tuna Manis,TimorLeste,Tuna garlic soy sauce sugar chili,sweet savory tuna dish cooked sugar soy sauce chili typically enjoyed rice
Caril Fruta,TimorLeste,Tropical fruits coconut milk curry powder garlic chili,fruit curry made blend tropical fruits coconut milk fusion sweet savory flavors
Tais Tapioca,TimorLeste,Tapioca coconut milk sugar,traditional dessert made tapioca pearls coconut milk sugar commonly served festivities
Etu Ai Fuan,TimorLeste,Fish garlic chili coconut milk lime,Timorese fish dish made coconut milk garlic chili typically served main course
Timorese Satay,TimorLeste,Chicken garlic soy sauce peanut butter chili,Skewered grilled chicken rich peanut sauce popular street food TimorLeste
Katupa Camarao,TimorLeste,Rice shrimp coconut milk garlic chili,savory rice shrimp dish cooked coconut milk garlic often served complete meal
Fehuk Ai Manas,TimorLeste,Pork garlic soy sauce chili coconut milk,Timorese pork dish flavored coconut milk soy sauce served rice
Caril Sagu,TimorLeste,Sago coconut milk curry powder garlic chili,sagobased dish cooked coconut milk curry often served side
Ai Manas Salad,TimorLeste,Mixed vegetables garlic chili soy sauce lime,refreshing salad made mix vegetables seasoned soy sauce lime
Sei Ayam,TimorLeste,Chicken garlic soy sauce chili lime,grilled stewed chicken dish flavored tangy marinade served rice
Caril Manis,TimorLeste,Beef coconut milk curry powder garlic chili,sweet beef curry dish made coconut milk spices often enjoyed rice
Kakuluk Mesak,TimorLeste,Chicken coconut milk garlic chili soy sauce,savory chicken stew made coconut milk chili flavored soy sauce
Tua Bibinka,TimorLeste,Rice flour sugar coconut milk eggs bananas,sweet Timorese dessert made rice flour bananas popular festive occasions
Timorese Roasted Chicken,TimorLeste,Chicken garlic soy sauce lemon chili,flavorful roasted chicken dish often served special occasions gatherings
Ai Manas Ikan,TimorLeste,Fish garlic chili coconut milk soy sauce,fish dish marinated cooked coconut milk spices often served rice
Bibinka Coconut,TimorLeste,Rice flour coconut milk sugar eggs,sweet coconutflavored rice flour cake typically enjoyed dessert
Katupa Ai Manas,TimorLeste,Rice tofu coconut milk garlic soy sauce,steamed rice dish tofu coconut milk often enjoyed side light meal
Fehuk Pisang,TimorLeste,Banana sugar coconut milk rice flour,banana dessert made coconut milk rice flour popular Timorese households
Caril Ai Fuan,TimorLeste,Fish garlic chili coconut milk lime,fish curry made coconut milk chili common dish Timorese cuisine
Fehuk Tua,TimorLeste,Pork garlic soy sauce chili coconut milk,savory pork stew flavored coconut milk soy sauce chili
Timorese Lamb Curry,TimorLeste,Lamb coconut milk curry powder garlic chili,rich flavorful curry made tender lamb fragrant blend spices
Bibinka Taro,TimorLeste,Taro coconut milk rice flour sugar,traditional Timorese dessert made taro coconut milk popular treat festivals
Fehuk Caril,TimorLeste,Pork coconut milk curry powder garlic chili,pork curry cooked coconut milk spices commonly served rice
Ai Manas Tamarind,TimorLeste,Fish tamarind garlic chili coconut milk,tangy spicy fish dish cooked tamarind coconut milk offering delightful contrast flavors
Batar Gulung,TimorLeste,Rice flour coconut milk sugar bananas,traditional steamed rice dessert made bananas coconut milk
Timor Pancakes,TimorLeste,Rice flour sugar coconut milk eggs,Sweet pancakes made rice flour coconut milk often enjoyed breakfast dessert
Tuna Sei,TimorLeste,Tuna garlic soy sauce chili,Timoresestyle dried fish typically made grilling seasoning tuna spices
Timorese Banana Bread,TimorLeste,Bananas sugar flour eggs butter,sweet moist banana bread often baked bananas abundant region
Fehuk Mutin Caril,TimorLeste,Goat meat coconut milk curry powder garlic chili,hearty goat meat curry made coconut milk curry spices commonly eaten special occasions
Katupa Frango,TimorLeste,Rice chicken coconut milk garlic soy sauce,delicious rice dish cooked chicken coconut milk soy sauce typically served complete meal
Fehuk Bibinka,TimorLeste,Rice flour sugar coconut milk eggs banana,dessert combining rice flour bananas typically baked create sweet soft treat
Ai Manas Tais,TimorLeste,Fish garlic chili coconut milk turmeric rice flour,traditional Timorese fish dish often served flavorful main course
Caril Katemak,TimorLeste,Tofu coconut milk curry powder garlic chili,hearty vegetarian curry made tofu coconut milk typically served rice
Timorese Corn Stew,TimorLeste,Corn pork garlic coconut milk tomatoes,hearty stew made corn often served filling meal comforting dish blends local flavors
Katupa Dook,TimorLeste,Rice beef garlic soy sauce coconut milk,rice beef dish flavored coconut milk perfect special occasions
Fehuk Ikan,TimorLeste,Fish garlic chili soy sauce coconut milk,popular fish dish often prepared steaming frying flavored spices served rice
Ai Manas Tamar,TimorLeste,Fish tamarind garlic chili coconut milk,tangy fish dish prepared tamarind offering unique sweetsour flavor
Tais Banana Leaf,TimorLeste,Rice banana leaves garlic coconut milk,Rice wrapped banana leaves often served side dish festive events
Sei Meat,TimorLeste,Meat usually beef garlic soy sauce chili,dried grilled meat dish commonly served proteinrich dish Timorese cuisine
Etu Squid,TimorLeste,Squid garlic chili coconut milk,seafood dish featuring squid typically grilled fried flavored coconut milk spices
Fehuk Caril Udang,TimorLeste,Shrimp garlic coconut milk curry powder chili,flavorful shrimp curry cooked coconut milk spices usually served rice
Timorese Coffee,TimorLeste,Coffee beans sugar milk optional,TimorLeste known highquality coffee often brewed using traditional methods enjoyed throughout day
Bibinka Corn,TimorLeste,Cornmeal coconut milk sugar eggs,sweet cornbased dessert made coconut milk variation traditional bibinka
Ai Manas Coconut,TimorLeste,Fish coconut milk garlic chili,coconutbased fish dish blend flavors often enjoyed steamed rice
Timor Tea,TimorLeste,Tea leaves sugar milk optional,simple refreshing tea often enjoyed day meals
Caril Tamar,TimorLeste,Tamarind garlic chili coconut milk vegetables,tangy vegetable curry made tamarind often enjoyed vegan option Timorese cuisine
Timorese Prawns,TimorLeste,Prawns garlic coconut milk chili,savory prawn dish cooked coconut milk spices popular seafood option Timorese cooking
Fehuk Uma Taka,TimorLeste,Pork garlic soy sauce chili coconut milk,pork dish flavored garlic soy sauce coconut milk offering rich flavors
Tais Ai Manas,TimorLeste,Fish garlic chili coconut milk,traditional steamed fish dish often prepared coconut milk spices served rice
Katupa Udang,TimorLeste,Rice shrimp coconut milk garlic soy sauce,rice shrimp dish cooked coconut milk offering balanced flavor hint spice
Bubur Jagung,TimorLeste,Corn coconut milk sugar rice flour,sweet cornbased dessert typically enjoyed comfort food
Caril Bamboo Shoots,TimorLeste,Bamboo shoots garlic coconut milk curry powder chili,curry dish made bamboo shoots popular crunchy texture rich flavors
Timorese Herbal Drinks,TimorLeste,Various herbs sugar water,Traditional herbal drinks made local plants known refreshing medicinal qualities
Fehuk Coconut,TimorLeste,Coconut garlic fish chili,coconutbased stew often prepared fish coconut milk spices offering rich savory flavor
Sei Tais,TimorLeste,Meat usually beef rice garlic chili,dried grilled meat dish often paired rice satisfying meal
Etu Katupa,TimorLeste,Rice potato onion garlic coconut milk,dish featuring rice potatoes wrapped banana leaves classic comfort food Timorese cuisine
Bubur Sagu,TimorLeste,Sago coconut milk sugar,traditional dessert made sago known smooth texture sweet flavor
Fehuk Gula Coconut,TimorLeste,Coconut sugar fish garlic chili,sweet savory fish dish made coconut sugar creating unique balance flavors
Timorese Tapioca,TimorLeste,Tapioca coconut milk sugar,dessert made tapioca pearls coconut milk often served sweet treat
Ai Manas Shrimp,TimorLeste,Shrimp garlic chili coconut milk,shrimp dish prepared coconut milk spices flavorful satisfying option Timorese cuisine
Timorese Squid Curry,TimorLeste,Squid coconut milk curry powder chili,curry dish made squid flavored coconut milk spices providing rich bold taste
Fehuk Tamar,TimorLeste,Tamarind garlic chili coconut milk fish,tangy savory fish dish flavored tamarind coconut milk spices typical Timorese cooking
Katupa Manis,TimorLeste,Rice sugar coconut milk banana,sweet rice dish banana coconut commonly enjoyed dessert snack
Bibinka Fehuk,TimorLeste,Coconut sugar fish eggs,sweet savory cake made coconut fish offering blend flavors
Etu Tamar,TimorLeste,Tamarind coconut milk garlic chili pork,tangy tamarind dish often paired pork flavored coconut milk chili
Fehuk Tapioca,TimorLeste,Tapioca coconut milk sugar garlic fish,tapioca dish made coconut milk fish providing unique blend sweet savory elements
Tais Coconut Rice,TimorLeste,Rice coconut milk garlic,coconutflavored rice dish often paired savory dishes served side
Tuna Sei Caril,TimorLeste,Tuna garlic curry powder coconut milk chili,tuna curry made coconut milk spices giving fish rich flavorful taste
Caril Timor,TimorLeste,Chicken curry powder garlic coconut milk vegetables,traditional Timorese chicken curry offering bold aromatic flavor
Bibinka Fruta,TimorLeste,Fruit usually banana coconut sugar eggs coconut milk,sweet fruity dessert made local fruits typically enjoyed snack dessert
Fehuk Bamboo,TimorLeste,Bamboo shoots coconut milk garlic chili,savory dish made bamboo shoots popular ingredient Timorese cuisine
Katupa Coconut,TimorLeste,Rice coconut milk garlic sugar,coconutflavored rice dish often served savory foods sweet treat
Ai Manas Banana,TimorLeste,Banana coconut milk garlic chili sugar,banana dish cooked coconut milk spices often served dessert side dish
Fehuk Tamarind Soup,TimorLeste,Tamarind garlic chili fish coconut milk,sour spicy soup made tamarind fish common Timorese cuisine tangy flavorful profile
Bibinka Banana,TimorLeste,Banana coconut sugar flour,sweet flavorful bananabased dessert often enjoyed snack meal
Fehuk Squid,TimorLeste,Squid garlic coconut milk chili,savory squid dish cooked coconut milk spices showcasing seafood flavors TimorLeste
Timorese Egg Curry,TimorLeste,Eggs coconut milk curry powder garlic chili,hearty curry made eggs combining richness coconut milk spices comforting meal
Bubur Mutin,TimorLeste,Rice sugar coconut milk,sweet rice porridge typically served dessert offering comforting creamy texture
Sei Corn,TimorLeste,Corn coconut milk garlic chili,dish made corn coconut milk representing staple comfort food Timorese culture
Tuna Tais,TimorLeste,Tuna garlic chili coconut milk,traditional Timorese dish tuna grilled stewed spices coconut milk
Fehuk Sweet,TimorLeste,Coconut sugar eggs flour,sweet dessert made coconut sugar commonly enjoyed snack dessert
Ai Manas Potato,TimorLeste,Potato garlic chili coconut milk,spiced potato dish cooked coconut milk offering comforting flavorful vegetarian meal
Fehuk Rice,TimorLeste,Rice garlic coconut milk chili,rice dish cooked garlic coconut milk often accompanying Timorese dishes
Tais Pumpkin,TimorLeste,Pumpkin coconut milk sugar,pumpkin dish flavored coconut milk typically served dessert sweet creamy flavors
Timorese Rice Cake,TimorLeste,Rice flour coconut sugar,sweet moist rice cake commonly enjoyed snack dessert Timorese households
Ai Manas Gula,TimorLeste,Sugar coconut garlic chili fish,sweet savory dish made fish sugar showcasing blend contrasting flavors Timorese cuisine
Bubur Tais,TimorLeste,Tais cassava leaves coconut milk sugar,dessert made cassava leaves coconut milk popular sweet earthy flavor
Fehuk Fried Banana,TimorLeste,Banana flour sugar oil,fried banana dish often enjoyed snack offering sweet crispy treat
Caril Coconut Milk,TimorLeste,Coconut milk curry powder garlic chicken,curry dish made coconut milk chicken offering rich aromatic flavor profile
Timorese Coconut Cake,TimorLeste,Coconut sugar flour eggs,moist flavorful coconut cake enjoyed dessert special treat
Fehuk Stew,TimorLeste,Meat usually beef pork vegetables coconut milk garlic,hearty flavorful meat stew often prepared beef pork simmered vegetables coconut milk
Ai Fuan Tais,TimorLeste,Tais cassava leaves coconut milk sugar,dish made cassava leaves coconut milk typically served rice dessert
Timorese Noodles,TimorLeste,Noodles garlic chili vegetables coconut milk,noodle dish often stirfried vegetables flavored coconut milk spices
Katupa Coconut Rice,TimorLeste,Coconut milk rice garlic chili,fragrant coconut rice dish often served side meats curries
Fehuk Ai Masin,TimorLeste,Fish garlic chili soy sauce,flavorful fish dish cooked garlic chili soy sauce often enjoyed rice
Bibinka Pumpkin,TimorLeste,Pumpkin coconut flour sugar,sweet pumpkin dessert often enjoyed smooth earthy flavor
Timor Grilled Fish,TimorLeste,Fish garlic chili lemon coconut oil,popular dish showcasing grilled fish marinated local spices coconut oil
Ai Fuan Gula,TimorLeste,Sugar coconut flour eggs,sweet dessert made sugar coconut typically enjoyed snack meals
Fehuk Prawns,TimorLeste,Prawns garlic coconut milk chili,savory prawn dish rich coconut milk flavored garlic chili popular Timorese cuisine
Caril Noodles,TimorLeste,Noodles curry powder garlic coconut milk vegetables,noodle dish cooked flavorful curry sauce combining noodles vegetables satisfying meal
Timorese Rice Sweet,TimorLeste,Rice sugar coconut milk,sweet rice dish made sugar coconut milk often enjoyed dessert snack
Tais Tamar,TimorLeste,Tamarind cassava garlic chili,tangy spicy dish made tamarind cassava often enjoyed rice
Bubur Manis,TimorLeste,Rice coconut milk sugar banana,comforting rice porridge flavored coconut milk bananas typically served sweet dessert
Fehuk Coconut Milk,TimorLeste,Fish meat coconut milk garlic chili,rich creamy dish made fish meat cooked coconut milk spiced chili garlic
Bibinka Tamarind,TimorLeste,Tamarind coconut sugar flour,sweet dessert tart twist tamarind offering unique flavor combination
Timor Tamar Soup,TimorLeste,Tamarind garlic fish meat vegetables,sour flavorful soup made tamarind commonly enjoyed fish meat
Fehuk Curry,TimorLeste,Meat curry powder garlic coconut milk,hearty curry made meat coconut milk typically served rice
Timor Gula Sweet,TimorLeste,Sugar coconut flour eggs,sweet dessert made coconut sugar offering rich comforting flavor
Bibinka Gula Coconut,TimorLeste,Coconut sugar flour eggs,coconutbased dessert moist sweet often enjoyed snack meal
Tais Tofu Salad,TimorLeste,Tofu cassava coconut milk chili garlic vegetables,refreshing salad made tofu cassava coconut milk offering nutritious flavorful option
Fehuk Corn,TimorLeste,Corn coconut milk garlic chili,simple comforting dish made corn showcasing rich flavor corn coconut milk
Timorese Coconut Curry,TimorLeste,Coconut milk curry powder garlic vegetables meat fish,fragrant curry made coconut milk spices incorporating either meat fish rich savory meal
Ai Manas Tofu Salad,TimorLeste,Tofu coconut chili garlic vegetables,delicious salad made tofu coconut offering spicy fresh dish thats perfect light meal
